"project","year","ship","trip","haul","time1","time2","lat.l","lon.l","lat.v","lon.v","latN1","lonW1","latN2","lonW2","depth1","depth2","stationType","val","speed","doors","dist","sweptarea","bottomT","gearID","stratum1","stratum2","fixpos","id","id.2","idp","depth","Stratum2","npos","wpos","div","id_str","stratum"
"GHLW",2002,"PA",6,31,"2002-09-22","2002-09-22 17:05:00",63.1360000038147,53.5059999847412,63.125,53.4909999847412,63.2266666730245,53.843333307902,63.2083333333333,53.818333307902,1158,1190,"B","A",2.59999990463257,136,2.39110335337014,0.0703797361030966,3.5,"ALF3",NA,NA,"GHLW2631","2002_31","2002_6_PA_31","2002_GHLW",1174,12,63.2175000031789,53.830833307902,"1D","1D_12",28
"GHLW",2002,"PA",6,32,"2002-09-22","2002-09-22 19:53:00",63.2529999923706,53.5620000076294,63.2410000038147,53.5479999923706,63.421666653951,53.9366666793823,63.4016666730245,53.9133333206177,1051,1056,"B","A",2.70000004768372,136,2.50684006314769,0.073786330418689,3.40000009536743,"ALF3",NA,NA,"GHLW2632","2002_32","2002_6_PA_32","2002_GHLW",1053.5,12,63.4116666634878,53.925,"1D","1D_12",28
"GHLW",2002,"PA",6,33,"2002-09-23","2002-09-23 04:43:00",63.5879999923706,54.4159999847412,63.575,54.4029999923706,63.9799999872843,54.693333307902,63.9583333333333,54.671666653951,1140,1147,"B","A",2.79999995231628,141,2.62934068224165,0.0792588455254924,3.5,"ALF3",NA,NA,"GHLW2633","2002_33","2002_6_PA_33","2002_GHLW",1143.5,12,63.9691666603088,54.6824999809265,"1D","1D_12",28
"GHLW",2002,"PA",6,34,"2002-09-23","2002-09-23 08:21:00",64.1130000019074,55.0409999990463,64.1,55.0229999995232,64.1883333365122,55.0683333317439,64.1666666666667,55.0383333325386,1097,1120,"B","A",3,141,2.81163545827547,0.0847539392542557,3.40000009536743,"ALF3",NA,NA,"GHLW2634","2002_34","2002_6_PA_34","2002_GHLW",1108.5,12,64.1775000015895,55.0533333321412,"1D","1D_12",28
"GHLW",2002,"PA",6,35,"2002-09-23","2002-09-23 12:12:00",64.2579999923706,55.4370000076294,64.245,55.4329999923706,64.4299999872843,55.728333346049,64.4083333333333,55.721666653951,1043,1066,"B","A",2.59999990463257,142,2.4288297189437,0.073559536867929,3.70000004768372,"ALF3",NA,NA,"GHLW2635","2002_35","2002_6_PA_35","2002_GHLW",1054.5,12,64.4191666603088,55.725,"1C","1C_12",22
"GHLW",2001,"PA",10,19,"2001-11-05","2001-11-05 08:37:00",66.0419999980926,56.3459999847412,66.055,56.3620000076294,66.0699999968211,56.5766666412353,66.0916666666667,56.603333346049,594,600,"B","A",2.90000009536743,139,2.69075785107898,0.0803460294332183,3,"ALF3",NA,NA,"GHLW11019","2001_19","2001_10_PA_19","2001_GHLW",597,6,66.0808333317439,56.5899999936422,"1C","1C_6",19
"GHLW",2001,"PA",10,20,"2001-11-05","2001-11-05 09:21:00",66.0559999990463,56.4170000076294,66.0640000009537,56.425,66.0933333317439,56.6950000127157,66.1066666682561,56.7083333333333,622,627,"B","A",3.40000009536743,140,1.59885386739609,0.0479688137296176,3.20000004768372,"ALF3",NA,NA,"GHLW11020","2001_20","2001_10_PA_20","2001_GHLW",624.5,8,66.1,56.7016666730245,"1C","1C_8",20
"GHLW",2001,"PA",10,21,"2001-11-05","2001-11-05 12:05:00",65.5729999923706,56.2489999961853,65.5759999847412,56.2520000076294,65.9549999872843,56.4149999936422,65.9599999745687,56.4200000127157,580,581,"B","A",2.79999995231628,137,0.599612015237711,0.0177341249626705,4.5,"ALF3",NA,NA,"GHLW11021","2001_21","2001_10_PA_21","2001_GHLW",580.5,6,65.9574999809265,56.4175000031789,"1C","1C_6",19
"GHLW",2001,"PA",10,22,"2001-11-05","2001-11-05 15:02:00",65.495,56.0129999995232,65.5040000152588,56.0409999990463,65.825,56.0216666658719,65.8400000254313,56.0683333317439,556,560,"B","A",2.90000009536743,136,2.69905510889588,0.0794439880752413,4.59999990463257,"ALF3",NA,NA,"GHLW11022","2001_22","2001_10_PA_22","2001_GHLW",558,6,65.8325000127157,56.0449999988079,"1C","1C_6",19
"GHLW",2001,"PA",10,23,"2001-11-05","2001-11-05 18:32:00",65.3089999961853,55.3189999961853,65.2979999923706,55.3060000038147,65.5149999936422,55.5316666603088,65.496666653951,55.5100000063578,636,641,"B","A",2.29999995231628,136,2.26863233908871,0.0667749242687372,4.59999990463257,"ALF3",NA,NA,"GHLW11023","2001_23","2001_10_PA_23","2001_GHLW",638.5,8,65.5058333237966,55.5208333333333,"1C","1C_8",20
"GHLW",2001,"PA",10,24,"2001-11-05","2001-11-05 21:01:00",65.3020000076294,56.0080000001192,65.285,56.0129999995232,65.503333346049,56.013333333532,65.475,56.0216666658719,730,737,"B","A",3.40000009536743,140,3.17200794782361,0.095166582450604,4.09999990463257,"ALF3",NA,NA,"GHLW11024","2001_24","2001_10_PA_24","2001_GHLW",733.5,8,65.4891666730245,56.017499999702,"1C","1C_8",20
"GHLW",2001,"PA",10,25,"2001-11-05","2001-11-05 23:39:00",65.17,56.0209999990463,65.1829999923706,56.0320000004768,65.2833333333333,56.0349999984105,65.3049999872843,56.0533333341281,768,775,"B","A",2.79999995231628,137,2.55381626771867,0.0755316699340474,4.19999980926514,"ALF3",NA,NA,"GHLW11025","2001_25","2001_10_PA_25","2001_GHLW",771.5,8,65.2941666603088,56.0441666662693,"1C","1C_8",20
"GHLW",2001,"PA",10,26,"2001-11-06","2001-11-06 02:13:00",65.19,56.29,65.1839999961853,56.2620000076294,65.3166666666667,56.4833333333333,65.3066666603088,56.4366666793823,705,709,"B","A",2.59999990463257,138,2.43439087108473,0.0723452279068959,4.30000019073486,"ALF3",NA,NA,"GHLW11026","2001_26","2001_10_PA_26","2001_GHLW",707,8,65.3116666634878,56.4600000063578,"1C","1C_8",20
"GHLW",2001,"PA",10,27,"2001-11-06","2001-11-06 09:39:00",64.5879999923706,57.3470000076294,64.5740000152588,57.3409999847412,64.9799999872843,57.578333346049,64.956666692098,57.568333307902,737,741,"B","A",2.90000009536743,139,2.6356476407785,0.0787004385536459,3.79999995231628,"ALF3",NA,NA,"GHLW11027","2001_27","2001_10_PA_27","2001_GHLW",739,8,64.9683333396912,57.5733333269755,"1C","1C_8",20
"GHLW",2001,"PA",10,28,"2001-11-06","2001-11-06 11:40:00",64.5079999923706,57.1910000038147,64.4940000152588,57.1970000076294,64.846666653951,57.3183333396912,64.8233333587646,57.328333346049,782,786,"B","A",2.90000009536743,138,2.63523253278228,0.0783138404092237,3.79999995231628,"ALF3",NA,NA,"GHLW11028","2001_28","2001_10_PA_28","2001_GHLW",784,8,64.8350000063578,57.3233333428701,"1C","1C_8",20
"GHLW",2001,"PA",10,29,"2001-11-06","2001-11-06 14:08:00",64.3920000076294,57.1460000038147,64.4079999923706,57.1489999961853,64.653333346049,57.2433333396912,64.6799999872843,57.2483333269755,810,816,"B","A",3.20000004768372,136,2.97251108615234,0.0874928913098079,3.70000004768372,"ALF3",NA,NA,"GHLW11029","2001_29","2001_10_PA_29","2001_GHLW",813,10,64.6666666666667,57.2458333333334,"1C","1C_10",21
"GHLW",2001,"PA",10,30,"2001-11-06","2001-11-06 17:31:00",64.2139999961853,57.3129999923706,64.1979999923706,57.3089999961853,64.3566666603088,57.521666653951,64.3299999872843,57.5149999936422,841,848,"B","A",3.20000004768372,139,2.98030295733544,0.0889918463060362,3.79999995231628,"ALF3",NA,NA,"GHLW11030","2001_30","2001_10_PA_30","2001_GHLW",844.5,10,64.3433333237965,57.5183333237966,"1C","1C_10",21
"GHLW",2001,"PA",10,31,"2001-11-06","2001-11-06 19:09:00",64.1779999923706,57.11,64.1820000076294,57.105,64.296666653951,57.1833333333333,64.303333346049,57.175,768,769,"B","A",2.70000004768372,139,0.842819731551103,0.0251665971841159,3.79999995231628,"ALF3",NA,NA,"GHLW11031","2001_31","2001_10_PA_31","2001_GHLW",768.5,8,64.3,57.1791666666666,"1C","1C_8",20
"GHLW",2001,"PA",10,32,"2001-11-06","2001-11-06 21:00:00",64.0880000019073,57.1810000038147,64.085,57.1720000076294,64.1466666698456,57.3016666730245,64.1416666666667,57.2866666793823,820,824,"B","A",3.29999995231628,137,0.914713281201366,0.0270535600048116,3.90000009536743,"ALF3",NA,NA,"GHLW11032","2001_32","2001_10_PA_32","2001_GHLW",822,10,64.1441666682561,57.2941666762034,"1D","1D_10",27
"GHLW",2001,"PA",10,33,"2001-11-06","2001-11-07 00:06:00",64.0379999995232,57.3590000152588,64.0440000009537,57.3290000152588,64.0633333325386,57.5983333587646,64.0733333349228,57.5483333587647,937,950,"B","A",2.90000009536743,136,2.67191472186938,0.0786451379235032,3.59999990463257,"ALF3",NA,NA,"GHLW11033","2001_33","2001_10_PA_33","2001_GHLW",943.5,10,64.0683333337307,57.5733333587646,"1D","1D_10",27
"GHLW",2001,"PA",10,34,"2001-11-07","2001-11-07 03:01:00",63.4790000152588,57.4279999923706,63.465,57.4359999847412,63.7983333587647,57.7133333206177,63.775,57.7266666412354,1246,1263,"B","A",2.90000009536743,133,2.67382183051804,0.0775622236596672,3.59999990463257,"ALF3",NA,NA,"GHLW11034","2001_34","2001_10_PA_34","2001_GHLW",1254.5,14,63.7866666793823,57.7199999809265,"1D","1D_14",29
"GHLW",2001,"PA",10,35,"2001-11-07","2001-11-07 05:41:00",63.3979999923706,57.3129999923706,63.4009999847412,57.2789999961853,63.6633333206177,57.521666653951,63.668333307902,57.4649999936422,1454,1461,"B","A",3.09999990463257,141,2.84807109145503,0.0858522549808204,3.5,"ALF3",NA,NA,"GHLW11035","2001_35","2001_10_PA_35","2001_GHLW",1457.5,16,63.6658333142599,57.4933333237966,"1D","1D_16",30
"GHLW",2001,"PA",10,36,"2001-11-07","2001-11-07 08:01:00",63.455,57.1779999923706,63.455,57.1439999961853,63.7583333333333,57.296666653951,63.7583333333333,57.2399999936422,1346,1353,"B","A",3,140,2.78402679554347,0.0835263719198953,3.5,"ALF3",NA,NA,"GHLW11036","2001_36","2001_10_PA_36","2001_GHLW",1349.5,14,63.7583333333333,57.2683333237966,"1D","1D_14",29
