"model","Z","a","C","Q","U","R","Params","AICbp","delta","Hipotheses"
"run_37.rds",1,3,2,1,1,3,9,211.116372606029,11.559542958243,1
"run_214.rds",2,2,2,1,2,3,11,211.190119512043,11.633289864257,8
"run_131.rds",3,2,5,3,1,4,15,211.220449676962,11.663620029176,3
"run_70.rds",2,3,5,3,2,4,16,211.228211784312,11.671382136526,8
"run_210.rds",3,1,2,1,3,3,12,211.382476408449,11.825646760663,6
"run_209.rds",3,1,2,1,3,3,12,211.414973486564,11.858143838778,6
"run_155.rds",3,2,5,1,1,4,13,211.427574240166,11.87074459238,6
"run_159.rds",2,3,5,1,1,4,13,211.567190728558,12.010361080772,8
"run_24.rds",3,1,1,1,3,3,11,211.640818272891,12.083988625105,6
"run_211.rds",2,2,2,1,2,3,11,211.956964343565,12.400134695779,7
"run_47.rds",3,1,2,1,1,3,9,212.489668303219,12.932838655433,2
"run_96.rds",3,2,5,1,3,4,15,212.567712825244,13.010883177458,3
"run_261.rds",2,2,3,1,1,3,10,212.768965365103,13.212135717317,5
"run_67.rds",2,3,5,3,2,4,16,213.001317896793,13.444488249007,7
"run_42.rds",3,1,1,3,1,3,11,213.084234767605,13.527405119819,6
"run_93.rds",3,2,6,1,3,4,15,213.097392938961,13.540563291175,2
"run_19.rds",1,3,2,1,1,3,9,213.159176693217,13.602347045431,1
"run_254.rds",1,3,3,1,1,3,10,213.168169299534,13.611339651748,1
"run_50.rds",2,2,2,1,1,3,9,213.176214437846,13.61938479006,5
"run_163.rds",1,3,3,1,1,3,10,213.318622082831,13.761792435045,1
"run_106.rds",2,3,5,1,2,4,14,213.333753705977,13.776924058191,8
"run_200.rds",1,3,3,1,1,3,10,213.42056251247,13.863732864684,1
"run_132.rds",3,2,5,3,1,4,15,213.751652699472,14.194823051686,3
"run_86.rds",2,3,5,2,2,4,15,213.965301754536,14.40847210675,7
"run_193.rds",2,2,2,2,2,3,12,214.084744235394,14.527914587608,7
"run_199.rds",1,3,3,1,1,3,10,214.090769421841,14.533939774055,1
"run_23.rds",2,2,2,1,2,3,10,214.224297872815,14.667468225029,5
"run_256.rds",3,1,3,1,1,3,10,214.261368752322,14.704539104536,2
"run_156.rds",3,2,5,1,1,4,13,214.288217644943,14.731387997157,6
"run_32.rds",2,2,2,3,1,3,11,214.516042615364,14.959212967578,5
"run_235.rds",1,3,3,1,1,3,10,214.550725182652,14.993895534866,1
"run_157.rds",2,3,5,1,1,4,13,214.55387257453,14.997042926744,7
"run_262.rds",2,2,3,1,1,3,10,214.61508605716,15.058256409374,5
"run_148.rds",3,2,6,1,1,4,13,214.829186131968,15.272356484182,2
"run_182.rds",1,3,3,1,1,3,10,215.221094992249,15.664265344463,1
"run_10.rds",1,3,2,1,1,3,9,215.353851845936,15.79702219815,1
"run_244.rds",2,2,3,2,1,3,11,215.426365895861,15.869536248075,5
"run_255.rds",3,1,3,1,1,3,10,215.526061202251,15.969231554465,2
"run_218.rds",1,3,3,1,1,3,10,215.571548689595,16.014719041809,1
"run_186.rds",3,1,2,3,3,3,14,215.703497469375,16.146667821589,3
"run_253.rds",1,3,3,1,1,3,10,215.71385853882,16.157028891034,1
"run_226.rds",2,2,3,3,1,3,12,215.817268454662,16.260438806876,5
"run_110.rds",1,4,5,1,1,4,12,215.830039812629,16.273210164843,1
"run_181.rds",1,3,3,1,1,3,10,215.922909030312,16.366079382526,1
"run_56.rds",1,4,5,1,1,4,12,215.950432091745,16.393602443959,1
"run_20.rds",3,1,2,1,3,3,11,216.013314971835,16.456485324049,2
"run_164.rds",1,3,3,1,1,3,10,216.120269823339,16.563440175553,1
"run_146.rds",1,4,5,1,1,4,12,216.2509944202,16.694164772414,1
"run_41.rds",2,2,2,2,1,3,10,216.410072474192,16.853242826406,5
"run_236.rds",1,3,3,1,1,3,10,216.42713975974,16.870310111954,1
"run_102.rds",3,2,5,1,3,4,15,216.535386177848,16.978556530062,6
"run_109.rds",1,4,5,1,1,4,12,216.752558180907,17.195728533121,1
"run_92.rds",1,4,5,1,1,4,12,216.800608121621,17.243778473835,1
"run_124.rds",2,3,5,3,1,4,15,216.833605771705,17.276776123919,8
"run_5.rds",2,2,2,3,2,3,12,217.052222278764,17.495392630978,5
"run_189.rds",2,2,3,2,2,3,12,217.177962724626,17.62113307684,5
"run_91.rds",1,4,5,1,1,4,12,217.380344158069,17.823514510283,1
"run_208.rds",2,2,3,1,2,3,11,217.573979101326,18.01714945354,5
"run_105.rds",2,3,5,1,2,4,14,217.639999449337,18.083169801551,8
"run_158.rds",2,3,5,1,1,4,13,217.670517670158,18.113688022372,7
"run_136.rds",2,3,6,2,1,4,14,217.881184525286,18.3243548775,5
